"ID","Collection","ENS","Minting Date","Tx Count","Power"
"116","0xf6b6f07862a02c85628b3a9688beae07fea9c863","poap.eth","Mon, 27 May 2019 23:27:24 GMT","1","472"
"117","0x72ba1965320ab5352fd6d68235cc3c5306a6ffa2","nanexcool.eth","Mon, 27 May 2019 23:27:24 GMT","1","220"
"118","0x68f9d801c96ac6ccf562f3600cef77c4504449b6","brukhman.eth","Mon, 27 May 2019 23:27:24 GMT","1","22"
"119","0x96d4f0e75ae86e4c46cd8e9d4ae2f2309bd6ec45","","Mon, 27 May 2019 23:27:24 GMT","1","22"
"120","0x5a384227b65fa093dec03ec34e111db80a040615","matoken.eth","Mon, 27 May 2019 23:27:24 GMT","1","77"
"121","0x9a5e4d421d72bc1835e6a7b9658ca1924d12d0e0","","Mon, 27 May 2019 23:27:24 GMT","1","26"
"122","0x4a8f6434499f8c9371a98db9824b4b8ae2ba9fe2","wallet.alexfisher.eth","Mon, 27 May 2019 23:27:24 GMT","1","52"
"123","0xae7f5df4d8f8410e182e6822ea748b0e95995c4e","","Mon, 27 May 2019 23:27:24 GMT","1","6"
"124","0x000001f568875f378bf6d170b790967fe429c81a","tradingdesk.jpmyorgan.eth","Mon, 27 May 2019 23:27:24 GMT","1","23"
"125","0x8cb85b3fae649b1ce508dcd31dcb0b9023a1fb2d","","Mon, 27 May 2019 23:27:24 GMT","1","12"
"127","0x5e7b645d5bf86750cb1913122ba8a8545e2a9fd1","","Mon, 27 May 2019 23:28:18 GMT","1","13"
"128","0x839395e20bbb182fa440d08f850e6c7a8f6f0780","griff.eth","Mon, 27 May 2019 23:28:18 GMT","1","64"
"129","0x0312b8954b0feeaed741ffc9d8b9be939d0c2957","","Mon, 27 May 2019 23:28:18 GMT","1","31"
"130","0x983110309620d911731ac0932219af06091b6744","brantly.eth","Mon, 27 May 2019 23:28:18 GMT","2","41"
"131","0x624ec4a3ffa86bcef4d06706034d1fddbc9f56b4","","Mon, 27 May 2019 23:28:18 GMT","1","16"
"132","0xf7e80882bba68a32f948f71ceacd307a6dd9d008","","Mon, 27 May 2019 23:28:18 GMT","1","8"
"133","0xc616c6868eabdf04b1d63447d5f695d92ab205cd","","Mon, 27 May 2019 23:28:18 GMT","1","5"
"134","0x61060d8ba5883f047c7b0a3bf7c5e4e1a314bfc2","","Mon, 27 May 2019 23:28:18 GMT","1","51"
"135","0x42f9134e9d3bf7eee1f8a5ac2a4328b059e7468c","kain.eth","Mon, 27 May 2019 23:28:18 GMT","2","13"
"136","0xa2ffcafdd265d065255f7615fdd7db8b3fd6dec9","","Mon, 27 May 2019 23:28:18 GMT","1","11"
"138","0x07ab597e0e2c727b5d13e503e1dcd0627346e59b","z010o.argent.xyz","Mon, 27 May 2019 23:29:29 GMT","2","38"
"139","0xabb0c7f7e10db00b52fef6bb3066c7f985c4c97f","","Mon, 27 May 2019 23:29:29 GMT","1","4"
"140","0x0b66da2871b9545eda8082d9f78f09c3e3d7dc5e","","Mon, 27 May 2019 23:29:29 GMT","1","9"
"141","0x0b9df1c24830ba18c097d97aaeda925b6ca70c84","","Mon, 27 May 2019 23:29:29 GMT","1","10"
"142","0xe881fa7efeee30f748d3dafb8afca870038cbb74","","Mon, 27 May 2019 23:29:29 GMT","1","8"
"143","0xcbaf142e1047142f3b6d2c5b1d0640ece29e4eb0","","Mon, 27 May 2019 23:29:29 GMT","1","18"
"144","0xd8da6bf26964af9d7eed9e03e53415d37aa96045","vitalik.eth","Mon, 27 May 2019 23:29:29 GMT","1","54"
"1103","0x51b10fc262442b26b07b2de00ce077faf6e6ee1f","","Sat, 22 Jun 2019 13:27:25 GMT","2","10"
"1118","0x65e3acec9cd5b865fa992a2f5e66f1d9558878a7","","Sat, 22 Jun 2019 13:29:15 GMT","1","14"
"1129","0x1dba1131000664b884a1ba238464159892252d3a","","Sat, 22 Jun 2019 13:31:54 GMT","1","12"
"1145","0x85f0ad9533aea4fdc870a8b93b0f7e71c018efcd","sunnya97.eth","Sat, 22 Jun 2019 14:59:50 GMT","1","20"
"1172","0x978452c747ee0b617285caf3c50cae0103af5656","josefje.eth","Sat, 22 Jun 2019 17:26:45 GMT","1","21"
"1179","0x004885f7e35f7696ad6e234549ab52ea4e4f0c4a","","Sun, 23 Jun 2019 10:29:37 GMT","1","6"
"1192","0xfbf345a92ad4cdf1aada97c1bcaeb946658da0de","","Sun, 23 Jun 2019 11:48:05 GMT","1","14"
"1198","0x31b4c292b4639a32a0aca72b0451499b464c58cb","joonian.eth","Sun, 23 Jun 2019 11:48:34 GMT","1","23"
"1205","0xfbf345a92ad4cdf1aada97c1bcaeb946658da0de","","Sun, 23 Jun 2019 11:50:32 GMT","1","14"
"1242","0xd65335e5729fc456f16ab40cde09c796563665a3","","Fri, 28 Jun 2019 00:37:43 GMT","1","4"
"1501","0x866b3c4994e1416b7c738b9818b31dc246b95eee","jefflau.eth","Sat, 03 Aug 2019 15:26:31 GMT","1","11"
"1528","0x8d1dabb8d6ad396274f038434cb623fa6102cecf","","Sun, 04 Aug 2019 07:42:45 GMT","1","10"
"1537","0xe8099ce185aa25162d74d0455080c5b7c08c1660","","Sun, 04 Aug 2019 08:06:39 GMT","1","11"
"2625","0xf5dbd20a5345c7eafc92038efebee3c85f6b9b68","","Mon, 19 Aug 2019 18:32:45 GMT","1","17"
"2658","0xeae0ddad0ad7d62119d4cb4b8f8973a4d77d9407","exiledsurfer.eth","Mon, 19 Aug 2019 18:32:48 GMT","1","22"
"2671","0xac9ba72fb61aa7c31a95df0a8b6eba6f41ef875e","jdetychey.eth","Mon, 19 Aug 2019 18:32:55 GMT","1","30"
"2732","0x52e2a3b644f25e30fb75d03a1249a45492f00de9","","Wed, 21 Aug 2019 09:46:11 GMT","1","13"
"2743","0x399a94a4089a5061161f950b37018544fb32a9b4","","Wed, 21 Aug 2019 12:49:54 GMT","1","8"
