"ID","Collection","ENS","Minting Date","Tx Count","Power"
"420","0x3bdcd88a9639f85818ed5a35e2abf6292d9b0377","jeffc.eth","Tue, 28 May 2019 00:16:47 GMT","2","15"
"421","0xd1220a0cf47c7b9be7a2e6ba89f429762e7b9adb","alex.vandesande.eth","Tue, 28 May 2019 00:16:47 GMT","1","12"
"422","0xd8da6bf26964af9d7eed9e03e53415d37aa96045","vitalik.eth","Tue, 28 May 2019 00:16:47 GMT","1","54"
"2667","0x46f67ba8629f70a9c6099f9f0ca1fe98e5047397","","Mon, 19 Aug 2019 18:32:48 GMT","2","25"
"2730","0x52e2a3b644f25e30fb75d03a1249a45492f00de9","","Wed, 21 Aug 2019 09:46:11 GMT","1","13"
"2745","0x399a94a4089a5061161f950b37018544fb32a9b4","","Wed, 21 Aug 2019 12:49:54 GMT","1","8"
"2772","0x3df7ce6b04663bb6f625bab474543d2e43aaaa44","","Fri, 23 Aug 2019 12:47:07 GMT","1","8"
"5011","0xeaadcf8a431e48ebd73ce81e240b2c13c690b601","shouldhaveboughtmore.eth","Wed, 06 Nov 2019 19:58:02 GMT","1","11"
"6219","0x1b63142628311395ceafeea5667e7c9026c862ca","tgerring.eth","Mon, 17 Feb 2020 22:43:35 GMT","1","16"
"8167","0xac4361f56c82ed59d533d45129f407015d84702a","ethosdev.eth","Sat, 18 Apr 2020 23:10:31 GMT","1","175"
"16711","0x6dfafe40fb06bebdc5f44d9d085da6328e281db8","ethereumnetwork.eth","Thu, 24 Sep 2020 08:39:05 GMT","1","18"
"16814","0x80d63799b1e08a80f73fb7a83264b5c31600bf3a","hudson.eth","Mon, 28 Sep 2020 02:43:37 GMT","1","38"
