"ID","Collection","ENS","Minting Date","Tx Count","Power"
"199","0x4aef8ecf49d105eed1b0a7bc439215faf6ce4bf6","","Mon, 27 May 2019 23:34:54 GMT","1","7"
"201","0xedd6d7ba0ff9f4bc501a12529cb736ca76a4fe7e","","Mon, 27 May 2019 23:35:52 GMT","1","2"
"202","0xb3624367b1ab37daef42e1a3a2ced012359659b0","","Mon, 27 May 2019 23:35:52 GMT","1","5"
"203","0xa2ffcafdd265d065255f7615fdd7db8b3fd6dec9","","Mon, 27 May 2019 23:35:52 GMT","1","11"
"204","0x18d4a86081e37fcbdd2ab59904fb6df8dcf7ea40","","Mon, 27 May 2019 23:35:52 GMT","1","4"
"205","0xa1b02d8c67b0fdcf4e379855868deb470e169cfb","markpereira.eth","Mon, 27 May 2019 23:35:52 GMT","1","12"
"206","0x07ab597e0e2c727b5d13e503e1dcd0627346e59b","z010o.argent.xyz","Mon, 27 May 2019 23:35:52 GMT","2","38"
"207","0xabb0c7f7e10db00b52fef6bb3066c7f985c4c97f","","Mon, 27 May 2019 23:35:52 GMT","1","4"
"208","0x0b66da2871b9545eda8082d9f78f09c3e3d7dc5e","","Mon, 27 May 2019 23:35:52 GMT","1","9"
"209","0xfe1a397fc1d1c4ac3139aea93ea5eb7455fed42c","","Mon, 27 May 2019 23:35:52 GMT","1","6"
"210","0x0078dcf16bd12320bab31a856e9497245ff50bfc","","Mon, 27 May 2019 23:35:52 GMT","1","8"
"212","0x0b9df1c24830ba18c097d97aaeda925b6ca70c84","","Mon, 27 May 2019 23:36:05 GMT","1","10"
"213","0x2ccf2e37b2a2a3f42e647adc16d37e8534b75d30","","Mon, 27 May 2019 23:36:05 GMT","1","6"
"214","0xcbaf142e1047142f3b6d2c5b1d0640ece29e4eb0","","Mon, 27 May 2019 23:36:05 GMT","1","18"
"215","0xd8da6bf26964af9d7eed9e03e53415d37aa96045","vitalik.eth","Mon, 27 May 2019 23:36:05 GMT","1","54"
"1083","0x24e399144260b747d53a2b4914de164f4e193ba2","","Sat, 22 Jun 2019 09:21:54 GMT","1","8"
"1087","0x006a8a496889e9983a5256f34b608ee9569ba319","relyt29.eth","Sat, 22 Jun 2019 11:46:19 GMT","1","36"
"1095","0xaa2140d143e4879e58759607478b503b11d17e7f","","Sat, 22 Jun 2019 12:53:29 GMT","1","4"
"1101","0x51b10fc262442b26b07b2de00ce077faf6e6ee1f","","Sat, 22 Jun 2019 13:27:25 GMT","2","10"
"1109","0x65e3acec9cd5b865fa992a2f5e66f1d9558878a7","","Sat, 22 Jun 2019 13:29:15 GMT","1","14"
"1124","0x1dba1131000664b884a1ba238464159892252d3a","","Sat, 22 Jun 2019 13:31:54 GMT","1","12"
"1138","0xae8aac1c02315c7a72cde3c76f5087589a06c404","","Sat, 22 Jun 2019 14:54:12 GMT","1","4"
"1155","0x9a5759d7dc56e59804c695f630e2b949bf650b43","","Sat, 22 Jun 2019 15:51:39 GMT","1","8"
"1166","0x978452c747ee0b617285caf3c50cae0103af5656","josefje.eth","Sat, 22 Jun 2019 17:26:45 GMT","1","21"
"1177","0x004885f7e35f7696ad6e234549ab52ea4e4f0c4a","","Sun, 23 Jun 2019 10:29:37 GMT","1","6"
"1191","0xfbf345a92ad4cdf1aada97c1bcaeb946658da0de","","Sun, 23 Jun 2019 11:48:05 GMT","1","14"
"1197","0x31b4c292b4639a32a0aca72b0451499b464c58cb","joonian.eth","Sun, 23 Jun 2019 11:48:34 GMT","1","23"
"1493","0x9d8e4e3748da101c664bbb5375ffd90683a27509","","Sat, 03 Aug 2019 13:39:23 GMT","1","43"
"1500","0x866b3c4994e1416b7c738b9818b31dc246b95eee","jefflau.eth","Sat, 03 Aug 2019 15:26:31 GMT","1","11"
"1510","0xfa9340dd02534c60f87c71dc09caa944f63e4378","bjeter.argent.xyz","Sat, 03 Aug 2019 17:38:48 GMT","1","18"
"1529","0x8d1dabb8d6ad396274f038434cb623fa6102cecf","","Sun, 04 Aug 2019 07:42:45 GMT","1","10"
"1536","0xe8099ce185aa25162d74d0455080c5b7c08c1660","","Sun, 04 Aug 2019 08:06:39 GMT","1","11"
"2619","0xf5dbd20a5345c7eafc92038efebee3c85f6b9b68","","Mon, 19 Aug 2019 18:32:45 GMT","1","17"
"2630","0x3a7d40f56b1e02205d52968baa8ec533a60f25e8","","Mon, 19 Aug 2019 18:32:45 GMT","1","5"
"2637","0x6a97b098b710774288c3dfba02947bc9e9f49c40","","Mon, 19 Aug 2019 18:32:45 GMT","1","6"
"2650","0xcc0fbb4187614c664b1af145ceb7bb8c480b3fab","zevel.eth","Mon, 19 Aug 2019 18:32:48 GMT","1","7"
"2659","0xeae0ddad0ad7d62119d4cb4b8f8973a4d77d9407","exiledsurfer.eth","Mon, 19 Aug 2019 18:32:48 GMT","1","22"
"2668","0x7205a1b9c5cf6494ba2ceb5adcca831c05536912","","Mon, 19 Aug 2019 18:32:48 GMT","1","24"
"2679","0xac9ba72fb61aa7c31a95df0a8b6eba6f41ef875e","jdetychey.eth","Mon, 19 Aug 2019 18:32:55 GMT","1","30"
"2684","0x34da5465d14054756814ada90b50285d2ec72057","","Mon, 19 Aug 2019 19:05:06 GMT","1","4"
"2685","0x4eabf7e3d14cb9d0a72aafe04e7a559321427aa8","","Mon, 19 Aug 2019 19:12:33 GMT","1","6"
"2719","0x946e097389499894beb577cffedfc55a16635fff","pholsgrove.argent.xyz","Wed, 21 Aug 2019 09:41:36 GMT","1","3"
"2724","0x52e2a3b644f25e30fb75d03a1249a45492f00de9","","Wed, 21 Aug 2019 09:46:11 GMT","1","13"
"2752","0xa7499aa6464c078eeb940da2fc95c6acd010c3cc","bneiluj.eth","Wed, 21 Aug 2019 14:40:52 GMT","1","18"
"2759","0x5f89e80d5639dac274346662c735be3440feacac","","Wed, 21 Aug 2019 14:40:52 GMT","1","4"
"2776","0x3df7ce6b04663bb6f625bab474543d2e43aaaa44","","Fri, 23 Aug 2019 12:47:07 GMT","1","8"
"2779","0xade965ddd3377fa58c084ed651e55d4f41821fea","","Fri, 23 Aug 2019 13:05:27 GMT","1","7"
"3563","0x5cb5fc9b678c5f5b7b37d73475869fb56f632e3a","gluk64.argent.xyz","Sat, 24 Aug 2019 13:42:11 GMT","1","14"
"3574","0xf6b6f07862a02c85628b3a9688beae07fea9c863","poap.eth","Sat, 24 Aug 2019 18:05:56 GMT","2","472"
"3686","0x17dc4aa0227a4d4f3b4196196dc9bfad08ec8e57","","Thu, 05 Sep 2019 15:09:39 GMT","1","2"
"3762","0x8584e54df79d9ea3216195ce034977968f01457c","","Sat, 07 Sep 2019 03:49:15 GMT","1","6"
"3994","0x634c474a393e4498bc2f0c1dee16a50e9e0ebe2b","dankrad.eth","Mon, 16 Sep 2019 11:07:22 GMT","1","17"
"4000","0x171767dc2b03daccc34d5125dc523f283fb86531","","Tue, 17 Sep 2019 19:20:36 GMT","1","2"
