"ID","Collection","ENS","Minting Date","Tx Count","Power"
"98","0xf6b6f07862a02c85628b3a9688beae07fea9c863","poap.eth","Mon, 27 May 2019 23:26:47 GMT","1","472"
"99","0x72ba1965320ab5352fd6d68235cc3c5306a6ffa2","nanexcool.eth","Mon, 27 May 2019 23:26:47 GMT","1","220"
"100","0x68f9d801c96ac6ccf562f3600cef77c4504449b6","brukhman.eth","Mon, 27 May 2019 23:26:47 GMT","1","22"
"101","0x9a5e4d421d72bc1835e6a7b9658ca1924d12d0e0","","Mon, 27 May 2019 23:26:47 GMT","1","26"
"102","0x5a384227b65fa093dec03ec34e111db80a040615","matoken.eth","Mon, 27 May 2019 23:26:47 GMT","1","77"
"103","0x3bdcd88a9639f85818ed5a35e2abf6292d9b0377","jeffc.eth","Mon, 27 May 2019 23:26:47 GMT","2","15"
"104","0x4a8f6434499f8c9371a98db9824b4b8ae2ba9fe2","wallet.alexfisher.eth","Mon, 27 May 2019 23:26:47 GMT","1","52"
"105","0x000001f568875f378bf6d170b790967fe429c81a","tradingdesk.jpmyorgan.eth","Mon, 27 May 2019 23:26:47 GMT","1","23"
"106","0x8cb85b3fae649b1ce508dcd31dcb0b9023a1fb2d","","Mon, 27 May 2019 23:26:47 GMT","1","12"
"107","0x34da5465d14054756814ada90b50285d2ec72057","","Mon, 27 May 2019 23:26:47 GMT","1","4"
"109","0x839395e20bbb182fa440d08f850e6c7a8f6f0780","griff.eth","Mon, 27 May 2019 23:27:06 GMT","1","64"
"110","0xd1220a0cf47c7b9be7a2e6ba89f429762e7b9adb","alex.vandesande.eth","Mon, 27 May 2019 23:27:06 GMT","1","12"
"111","0x1a0b8eb610ed3489b577892950bb6be36358167d","","Mon, 27 May 2019 23:27:06 GMT","1","6"
"112","0x0b66da2871b9545eda8082d9f78f09c3e3d7dc5e","","Mon, 27 May 2019 23:27:06 GMT","1","9"
"113","0x0078dcf16bd12320bab31a856e9497245ff50bfc","","Mon, 27 May 2019 23:27:06 GMT","1","8"
"114","0xd8da6bf26964af9d7eed9e03e53415d37aa96045","vitalik.eth","Mon, 27 May 2019 23:27:06 GMT","1","54"
"1130","0x1dba1131000664b884a1ba238464159892252d3a","","Sat, 22 Jun 2019 13:31:54 GMT","1","12"
"1171","0x978452c747ee0b617285caf3c50cae0103af5656","josefje.eth","Sat, 22 Jun 2019 17:26:45 GMT","1","21"
